text,label
"Việc đi lại mỗi ngày đến văn phòng thực sự mệt mỏi.","Negative"
"Tôi đang đợi hệ thống phần mềm cập nhật xong.","Neutral"
"Tôi đã tìm được một nhóm học tập rất hiệu quả.","Positive"
"Tôi không thể tìm thấy thông tin cần thiết trên mạng nội bộ.","Negative"
"Tôi đang sắp xếp lại các tệp tài liệu trên máy tính.","Neutral"
"Thư viện trường có tất cả sách tham khảo tôi cần.","Positive"
"Tôi lo lắng về buổi đánh giá hiệu suất công việc sắp tới.","Negative"
"Tôi đang kiểm tra lại lịch học và phòng học.","Neutral"
"Người hướng dẫn luận văn của tôi rất tận tình và hữu ích.","Positive"
"Cà phê ở văn phòng hôm nay thật tệ.","Negative"
"Tôi vừa nộp bài tập lớn đúng hạn.","Neutral"
"Tôi học được cách sử dụng một công cụ mới rất hay.","Positive"
"Tôi cảm thấy bế tắc khi tìm ý tưởng cho bài luận.","Negative"
"Tôi đang xem lại biên bản cuộc họp tuần trước.","Neutral"
"Tôi rất vui vì được tham gia vào dự án thú vị này.","Positive"
"Tôi gặp khó khăn khi cộng tác với một đồng nghiệp khó tính.","Negative"
"Tôi đang trả lời các email tồn đọng từ hôm qua.","Neutral"
"Không khí làm việc hôm nay khá thoải mái và dễ chịu.","Positive"
"Tôi bị nhắc nhở vì quên gửi báo cáo đúng giờ.","Negative"
"Tôi đang chuẩn bị slide cho buổi chia sẻ kinh nghiệm.","Neutral"
"Tôi hài lòng với kết quả đàm phán với khách hàng.","Positive"
"Tôi cảm thấy mệt mỏi vì thiếu ngủ do làm việc khuya.","Negative"
"Tôi đang đăng ký môn học cho học kỳ tiếp theo.","Neutral"
"Tôi tìm thấy một lỗi logic quan trọng trong chương trình.","Positive"
"Tôi cảm thấy không được đánh giá đúng năng lực của mình.","Negative"
"Tôi đang đọc tài liệu hướng dẫn sử dụng thiết bị mới.","Neutral"
"Tôi rất thích môi trường làm việc cởi mở ở đây.","Positive"
"Tôi bị phân tâm bởi tiếng ồn từ công trường gần văn phòng.","Negative"
"Tôi đang chờ xe buýt để đến lớp học thêm.","Neutral"
"Tôi tự hào vì đã hoàn thành khóa học khó khăn này.","Positive"
"Tôi cảm thấy áp lực khi phải hoàn thành nhiều việc cùng lúc.","Negative"
"Tôi đang ghi chú lại những điểm quan trọng từ bài đọc.","Neutral"
"Tôi nhận được một email khen ngợi từ khách hàng cũ.","Positive"
"Tôi không đồng ý với quyết định mới của quản lý.","Negative"
"Tôi đang tham gia buổi thảo luận nhóm trực tuyến.","Neutral"
"Tôi đã tìm ra cách tự động hóa một công việc nhàm chán.","Positive"
"Tôi cảm thấy buồn vì dự án tâm huyết bị hủy bỏ.","Negative"
"Tôi đang xem lại danh sách công việc cần làm trong ngày.","Neutral"
"Tôi rất vui vì được sếp giao thêm trách nhiệm mới.","Positive"
"Tôi gặp sự cố khi truy cập vào hệ thống dữ liệu công ty.","Negative"
"Tôi đang đọc email thông báo về chính sách mới.","Neutral"
"Tôi học được kỹ năng giải quyết vấn đề hiệu quả hơn.","Positive"
"Tôi cảm thấy bị đối xử không công bằng trong việc thưởng phạt.","Negative"
"Tôi đang tìm kiếm thông tin về các hội thảo sắp tới.","Neutral"
"Tôi hài lòng với sự hỗ trợ nhiệt tình từ bộ phận kỹ thuật.","Positive"
"Tôi quên mất deadline quan trọng của môn học.","Negative"
"Tôi đang sắp xếp lại không gian học tập của mình.","Neutral"
"Tôi rất ấn tượng với phần trình bày của đồng nghiệp.","Positive"
"Tôi cảm thấy kiệt sức vì lịch trình làm việc quá dày.","Negative"
"Tôi đang tham khảo ý kiến của các anh chị khóa trên.","Neutral"
"Tôi đã hoàn thành tất cả các mục tiêu đề ra cho tuần này.","Positive"
"Tôi gặp khó khăn khi phải thuyết trình bằng tiếng Anh.","Negative"
"Tôi đang kiểm tra lại thông tin trước khi gửi email.","Neutral"
"Tôi rất vui vì nhận được sự công nhận cho nỗ lực của mình.","Positive"
"Tôi cảm thấy không có hứng thú với môn học này.","Negative"
"Tôi đang đọc các bài đánh giá về khóa học trực tuyến.","Neutral"
"Tôi tự tin rằng mình có thể hoàn thành tốt nhiệm vụ này.","Positive"
"Tôi bị lạc trong tòa nhà văn phòng mới.","Negative"
"Tôi đang chuẩn bị cho buổi thi vấn đáp.","Neutral"
"Tôi học được cách giao tiếp hiệu quả hơn với khách hàng.","Positive"
"Tôi cảm thấy thất vọng vì không được chọn vào đội dự án.","Negative"
"Tôi đang xem lại lịch sử chỉnh sửa của tài liệu.","Neutral"
"Tôi rất vui khi thấy nhóm làm việc đoàn kết và hiệu quả.","Positive"
"Tôi bị trễ giờ họp do kẹt xe.","Negative"
"Tôi đang cập nhật trạng thái công việc lên hệ thống quản lý.","Neutral"
"Tôi đã tìm ra một giải pháp đơn giản cho vấn đề phức tạp.","Positive"
"Tôi cảm thấy căng thẳng trước kỳ thi cuối kỳ.","Negative"
"Tôi đang đọc email xác nhận đăng ký thành công.","Neutral"
"Tôi hài lòng với sự linh hoạt trong giờ làm việc.","Positive"
"Tôi không tìm thấy tài liệu mà đồng nghiệp đã chia sẻ.","Negative"
"Tôi đang tham gia một cuộc họp online với đối tác.","Neutral"
"Tôi tự hào về kết quả học tập của mình trong học kỳ này.","Positive"
"Tôi cảm thấy bị cô lập và không được tham gia vào các cuộc thảo luận.","Negative"
"Tôi đang xem lại video bài giảng đã bỏ lỡ.","Neutral"
"Tôi rất vui vì đã giúp được một bạn mới trong lớp.","Positive"
"Tôi gặp khó khăn trong việc tập trung làm việc tại nhà.","Negative"
"Tôi đang chuẩn bị các câu hỏi cho người phỏng vấn.","Neutral"
"Tôi đã hoàn thành báo cáo thực tập và sẵn sàng nộp.","Positive"
"Bài thuyết trình nhóm của chúng tôi được giáo viên khen ngợi.","Positive"
"Tôi cảm thấy công việc hiện tại không có nhiều thử thách.","Negative"
"Tôi đang đọc tài liệu hướng dẫn của dự án.","Neutral"
"Sếp đã đồng ý với đề xuất tăng lương của tôi.","Positive"
"Buổi họp sáng nay không giải quyết được vấn đề gì cả, thật lãng phí thời gian.","Negative"
"Lịch làm việc tuần này đã được cập nhật trên hệ thống.","Neutral"
"Tôi vừa tìm ra một giải pháp rất thông minh cho vấn đề tồn đọng.","Positive"
"Tôi lại phải làm thêm giờ để hoàn thành công việc tồn đọng.","Negative"
"Công ty sẽ tổ chức một buổi đào tạo về kỹ năng mềm vào thứ Sáu.","Neutral"
"Không khí làm việc trong đội rất tích cực và mọi người hỗ trợ nhau.","Positive"
"Phần mềm mới cài đặt chạy rất chậm và hay bị lỗi vặt.","Negative"
"Tôi đang chuẩn bị slide cho buổi báo cáo tiến độ dự án ngày mai.","Neutral"
"Tôi học được một kỹ năng mới rất hữu ích từ workshop hôm qua.","Positive"
"Tôi lo lắng về kết quả bài kiểm tra cuối kỳ môn chuyên ngành.","Negative"
"Hệ thống email của công ty đang được bảo trì định kỳ.","Neutral"
"Khách hàng rất hài lòng với dịch vụ hỗ trợ của chúng tôi.","Positive"
"Tôi cảm thấy mệt mỏi vì phải di chuyển quá nhiều giữa các chi nhánh.","Negative"
"Tôi đang xem lại các ghi chú từ buổi họp trước.","Neutral"
"Dự án mới này có tiềm năng phát triển rất lớn.","Positive"
"Tôi không hiểu tại sao yêu cầu của tôi lại bị từ chối.","Negative"
"Tôi đang đợi phản hồi từ bộ phận nhân sự về đơn xin nghỉ phép.","Neutral"
"Tôi tự hào về những gì mình đã đóng góp cho công ty.","Positive"
"Chất lượng mạng internet ở văn phòng hôm nay rất tệ.","Negative"
"Tôi đang tìm kiếm thông tin cho bài nghiên cứu khoa học.","Neutral"
"Buổi team building cuối tuần thật vui và ý nghĩa.","Positive"
"Tôi cảm thấy bị đánh giá thấp hơn so với năng lực thực sự của mình.","Negative"
"Tôi đang sắp xếp lại các file tài liệu trên máy tính cho ngăn nắp.","Neutral"
"Tôi nhận được một món quà bất ngờ từ đồng nghiệp.","Positive"
"Deadline gấp quá, tôi sợ không kịp hoàn thành.","Negative"
"Tôi đang tham gia một khóa học trực tuyến để nâng cao kỹ năng.","Neutral"
"Tôi rất vui khi được làm việc với một đội ngũ chuyên nghiệp như vậy.","Positive"
"Tôi cảm thấy thất vọng với cách xử lý vấn đề của quản lý.","Negative"
"Tôi đang cập nhật hồ sơ năng lực cá nhân.","Neutral"
"Sáng kiến cải tiến của tôi đã được ban lãnh đạo phê duyệt.","Positive"
"Công việc này đòi hỏi sự tập trung cao độ, đôi khi rất căng thẳng.","Negative"
"Tôi đang kiểm tra lại lịch hẹn với khách hàng.","Neutral"
"Tôi tìm được một công cụ hỗ trợ công việc rất hiệu quả.","Positive"
"Tôi cảm thấy bị bỏ rơi trong các quyết định của nhóm.","Negative"
"Tôi đang soạn thảo email gửi cho đối tác.","Neutral"
"Tôi rất biết ơn sự giúp đỡ của bạn bè trong quá trình học tập.","Positive"
"Tôi không thể truy cập vào cơ sở dữ liệu của công ty.","Negative"
"Tôi đang xem xét các lựa chọn cho kỳ thực tập sắp tới.","Neutral"
"Kết quả kinh doanh quý này vượt xa chỉ tiêu đề ra.","Positive"
"Tôi cảm thấy áp lực khi phải đảm nhận quá nhiều trách nhiệm.","Negative"
"Tôi đang làm quen với quy trình làm việc mới.","Neutral"
"Tôi rất hào hứng với cơ hội được học hỏi từ các chuyên gia.","Positive"
"Tôi bị mất tập trung vì tiếng ồn từ bên ngoài.","Negative"
"Tôi đang ghi danh tham gia một hội thảo chuyên ngành.","Neutral"
"Tôi đã hoàn thành xuất sắc khóa đào tạo nâng cao nghiệp vụ.","Positive"
"Tôi cảm thấy chán nản vì công việc không có sự đổi mới.","Negative"
"Tôi đang chờ xác nhận thông tin từ phòng kế toán.","Neutral"
"Tôi rất vui vì đã giải quyết được một vấn đề kỹ thuật phức tạp.","Positive"
"Tôi gặp khó khăn trong việc giao tiếp với một đồng nghiệp mới.","Negative"
"Tôi đang đọc các quy định mới của thư viện trường.","Neutral"
"Tinh thần đồng đội của chúng tôi rất tuyệt vời.","Positive"
"Tôi cảm thấy bị quá tải thông tin sau buổi họp dài.","Negative"
"Tôi đang chuẩn bị hồ sơ để xin học bổng.","Neutral"
"Tôi nhận được phản hồi rất tích cực về bài viết của mình.","Positive"
"Tôi không hài lòng với chất lượng bữa trưa tại căng tin công ty.","Negative"
"Tôi đang tìm hiểu về các công nghệ mới nổi trong ngành.","Neutral"
"Tôi đã vượt qua kỳ thi chứng chỉ chuyên môn quan trọng.","Positive"
"Tôi cảm thấy mệt mỏi vì phải tham gia quá nhiều cuộc họp không cần thiết.","Negative"
"Tôi đang xem lại bản kế hoạch dự án.","Neutral"
"Tôi rất thích không khí làm việc năng động và sáng tạo ở đây.","Positive"
"Tôi bị sai sót trong việc nhập liệu, cần phải sửa lại.","Negative"
"Tôi đang đợi giáo viên chấm bài kiểm tra.","Neutral"
"Tôi học được nhiều điều bổ ích từ buổi chia sẻ kinh nghiệm.","Positive"
"Tôi cảm thấy không thoải mái với không gian làm việc chật chội.","Negative"
"Tôi đang cập nhật tiến độ công việc cho quản lý.","Neutral"
"Tôi rất vui vì được công nhận những nỗ lực của mình.","Positive"
"Tôi gặp rắc rối với việc cài đặt phần mềm mới.","Negative"
"Tôi đang chuẩn bị cho buổi phỏng vấn xin việc vào tuần sau.","Neutral"
"Tôi tự tin rằng mình sẽ hoàn thành tốt nhiệm vụ được giao.","Positive"
"Tôi cảm thấy bị đối xử không công bằng trong việc phân công dự án.","Negative"
"Tôi đang tìm kiếm tài liệu tham khảo cho bài luận cuối kỳ.","Neutral"
"Chương trình đào tạo này thực sự chất lượng và hữu ích.","Positive"
"Tôi lo lắng về việc thay đổi nhân sự trong bộ phận.","Negative"
"Tôi đang xem lại email thông báo của công ty.","Neutral"
"Tôi đã giải quyết ổn thỏa một khiếu nại của khách hàng.","Positive"
"Tôi cảm thấy thiếu động lực để bắt đầu một ngày làm việc mới.","Negative"
"Tôi đang lên kế hoạch chi tiết cho các công việc trong tuần.","Neutral"
"Tôi rất hào hứng khi được tham gia một dự án đầy thử thách.","Positive"
"Tôi bị lạc đường khi đến địa điểm họp với đối tác.","Negative"
"Tôi đang tham dự một webinar về xu hướng marketing.","Neutral"
"Tôi hoàn thành mục tiêu cá nhân sớm hơn dự kiến.","Positive"
"Tôi cảm thấy kiệt sức sau một tuần làm việc căng thẳng.","Negative"
"Tôi đang đọc chính sách phúc lợi mới của công ty.","Neutral"
"Tôi rất vui vì được làm việc trong một môi trường cởi mở.","Positive"
"Tôi quên mất một cuộc hẹn quan trọng với giảng viên.","Negative"
"Tôi đang sắp xếp lại bàn làm việc cho gọn gàng hơn.","Neutral"
"Tôi nhận được lời khen từ cấp trên về hiệu suất làm việc.","Positive"
"Tôi cảm thấy không phù hợp với văn hóa làm việc ở đây.","Negative"
"Tôi đang kiểm tra lại các yêu cầu kỹ thuật của sản phẩm.","Neutral"
"Tôi đã tìm ra nguyên nhân gây lỗi và khắc phục thành công.","Positive"
"Áp lực từ các chỉ tiêu doanh số khiến tôi khá căng thẳng.","Negative"
"Tôi đang chuẩn bị cho buổi họp nhóm vào chiều nay.","Neutral"
"Tôi rất hài lòng với sự hỗ trợ từ đội ngũ IT.","Positive"
"Tôi bị mất dữ liệu do máy tính đột ngột tắt nguồn.","Negative"
"Tôi đang xem lại lịch sử các giao dịch.","Neutral"
"Tôi được giao một vai trò quan trọng trong dự án sắp tới.","Positive"
"Công việc này có quá nhiều quy trình phức tạp và rườm rà.","Negative"
"Tôi đang chờ đợi kết quả đánh giá cuối năm.","Neutral"
"Tôi vừa nhận được email khen ngợi từ khách hàng về dự án.","Positive"
"Buổi học nhóm hôm nay rất hiệu quả, mọi người đều đóng góp tích cực.","Positive"
"Khóa học mới này cung cấp nhiều kiến thức thực tế và bổ ích.","Positive"
"Tôi cảm thấy rất tự tin sau khi hoàn thành bài kiểm tra.","Positive"
"Đồng nghiệp mới rất hòa đồng và dễ làm việc chung.","Positive"
"Tôi được sếp tin tưởng giao cho một dự án quan trọng.","Positive"
"Giải pháp tôi đề xuất đã giúp cải thiện đáng kể hiệu suất làm việc.","Positive"
"Không khí trong văn phòng hôm nay thật dễ chịu và thoải mái.","Positive"
"Tôi đã học được một phương pháp giải quyết vấn đề rất hay.","Positive"
"Chuyến đi công tác vừa rồi rất thành công và mang lại nhiều cơ hội mới.","Positive"
"Bài giảng của giáo sư rất cuốn hút và truyền cảm hứng.","Positive"
"Tôi cảm thấy rất vui khi được thăng chức lên vị trí mới.","Positive"
"Dự án chúng tôi thực hiện đã đạt được kết quả vượt mong đợi.","Positive"
"Hệ thống mới giúp công việc của tôi trở nên dễ dàng hơn nhiều.","Positive"
"Tôi tìm được một tài liệu tham khảo cực kỳ giá trị cho bài luận.","Positive"
"Buổi hội thảo hôm qua đã mở ra nhiều ý tưởng mới cho tôi.","Positive"
"Tôi rất thích sự linh hoạt trong lịch làm việc của công ty.","Positive"
"Mọi người trong nhóm đều rất ủng hộ ý tưởng của tôi.","Positive"
"Tôi đã hoàn thành tất cả các mục tiêu đề ra trong tháng này.","Positive"
"Tôi nhận được đánh giá cao từ người quản lý trong kỳ đánh giá vừa rồi.","Positive"
"Tôi rất hài lòng với môi trường làm việc hiện tại.","Positive"
"Công ty vừa có chính sách phúc lợi mới rất tốt cho nhân viên.","Positive"
"Tôi đã tìm ra cách tối ưu hóa quy trình làm việc hiện tại.","Positive"
"Buổi đào tạo kỹ năng rất thực tế và áp dụng được ngay.","Positive"
"Tôi cảm thấy tràn đầy năng lượng để bắt đầu một tuần làm việc mới.","Positive"
"Sự hợp tác giữa các phòng ban diễn ra rất suôn sẻ.","Positive"
"Tôi vừa hoàn thành một khóa học online và nhận được chứng chỉ.","Positive"
"Khách hàng đã ký hợp đồng lớn sau buổi thuyết trình của chúng tôi.","Positive"
"Tôi cảm thấy kỹ năng của mình đã tiến bộ rõ rệt.","Positive"
"Tôi rất vui vì được làm việc với những đồng nghiệp tài năng.","Positive"
"Bài báo cáo của tôi được đánh giá là xuất sắc.","Positive"
"Tôi được mời tham gia một dự án nghiên cứu rất thú vị.","Positive"
"Tôi đã giải quyết thành công một vấn đề tồn đọng lâu ngày.","Positive"
"Tôi cảm thấy quá tải với lượng công việc được giao.","Negative"
"Máy tính của tôi lại bị hỏng đúng lúc cần gấp.","Negative"
"Cuộc họp kéo dài mà không đi đến kết luận nào cả.","Negative"
"Tôi không thể tập trung làm việc vì văn phòng quá ồn ào.","Negative"
"Dự án bị trì hoãn do thiếu nguồn lực.","Negative"
"Tôi cảm thấy thất vọng với kết quả bài thi vừa rồi.","Negative"
"Giao tiếp với một số đồng nghiệp thực sự khó khăn.","Negative"
"Tôi bị sếp khiển trách vì một lỗi nhỏ.","Negative"
"Hệ thống mạng của công ty quá chậm, ảnh hưởng đến công việc.","Negative"
"Tôi cảm thấy công việc hiện tại không phù hợp với khả năng của mình.","Negative"
"Deadline đang đến gần mà tôi vẫn chưa hoàn thành xong.","Negative"
"Tôi cảm thấy bị đối xử không công bằng trong việc phân chia công việc.","Negative"
"Bài giảng hôm nay quá khó hiểu, tôi không theo kịp.","Negative"
"Tôi lo lắng về buổi thuyết trình quan trọng vào ngày mai.","Negative"
"Phần mềm mới rất khó sử dụng và thường xuyên bị lỗi.","Negative"
"Tôi cảm thấy mệt mỏi và kiệt sức sau một ngày làm việc dài.","Negative"
"Tôi không tìm thấy tài liệu cần thiết cho dự án.","Negative"
"Mâu thuẫn trong nhóm đang ảnh hưởng đến tiến độ chung.","Negative"
"Tôi bị từ chối đề xuất cải tiến quy trình.","Negative"
"Chính sách mới của công ty gây ra nhiều bất tiện.","Negative"
"Tôi cảm thấy áp lực phải đạt được chỉ tiêu quá cao.","Negative"
"Tôi không hài lòng với chất lượng buổi đào tạo trực tuyến.","Negative"
"Tôi gặp khó khăn trong việc thích nghi với môi trường làm việc mới.","Negative"
"Tôi cảm thấy bị đánh giá không đúng năng lực.","Negative"
"Tôi bỏ lỡ một thông báo quan trọng từ phòng nhân sự.","Negative"
"Công việc lặp đi lặp lại khiến tôi cảm thấy nhàm chán.","Negative"
"Tôi cảm thấy bị cô lập trong các hoạt động của nhóm.","Negative"
"Tôi bị mất tập trung khi làm việc tại nhà.","Negative"
"Yêu cầu của khách hàng lần này quá vô lý.","Negative"
"Tôi cảm thấy không được tôn trọng ý kiến trong các cuộc họp.","Negative"
"Tôi phải làm lại báo cáo vì có nhiều sai sót.","Negative"
"Tôi cảm thấy bế tắc trong việc tìm giải pháp cho vấn đề này.","Negative"
"Việc tăng ca liên tục khiến tôi không còn thời gian cho bản thân.","Negative"
"Tôi đang kiểm tra email công việc đầu ngày.","Neutral"
"Cuộc họp định kỳ của phòng sẽ diễn ra vào lúc 10 giờ.","Neutral"
"Tôi đang cập nhật tiến độ công việc trên hệ thống.","Neutral"
"Tôi cần chuẩn bị tài liệu cho buổi họp chiều nay.","Neutral"
"Hôm nay tôi có lịch phỏng vấn ứng viên mới.","Neutral"
"Tôi đang xem lại bản nháp của hợp đồng.","Neutral"
"Công ty sẽ có buổi tổng kết quý vào cuối tuần.","Neutral"
"Tôi đang ghi lại các ý chính của buổi đào tạo.","Neutral"
"Tôi cần gửi báo cáo tuần cho quản lý trước 5 giờ chiều.","Neutral"
"Phòng nhân sự vừa gửi thông báo về lịch nghỉ lễ.","Neutral"
"Tôi đang tìm hiểu thông tin về đối thủ cạnh tranh.","Neutral"
"Tôi sẽ tham gia một buổi workshop về kỹ năng thuyết trình.","Neutral"
"Tôi đang sắp xếp lại lịch trình công việc cho tuần tới.","Neutral"
"Tôi cần xác nhận lại thông tin với bộ phận kỹ thuật.","Neutral"
"Tôi đang đọc quy trình làm việc mới được ban hành.","Neutral"
"Tôi sẽ có một buổi gặp gỡ với đối tác vào ngày mai.","Neutral"
"Tôi đang điền phiếu khảo sát của công ty.","Neutral"
"Tôi đang tham khảo ý kiến đồng nghiệp về một vấn đề.","Neutral"
"Tôi cần đặt phòng họp cho buổi thảo luận nhóm.","Neutral"
"Tôi đang kiểm tra lại danh sách các đầu việc cần hoàn thành.","Neutral"
"Công ty đang tiến hành nâng cấp hệ thống phần mềm.","Neutral"
"Tôi đang xem lại nội dung email trước khi gửi.","Neutral"
"Tôi sẽ tham dự buổi lễ trao giải của công ty.","Neutral"
"Tôi đang chuẩn bị cho kỳ thi cuối kỳ.","Neutral"
"Tôi đang tìm thông tin liên hệ của một khách hàng.","Neutral"
"Tôi đang đọc tài liệu hướng dẫn sử dụng thiết bị mới.","Neutral"
"Bộ phận IT đang hỗ trợ cài đặt phần mềm cho tôi.","Neutral"
"Tôi đang xem lại kế hoạch marketing cho sản phẩm mới.","Neutral"
"Tôi cần in một số tài liệu quan trọng.","Neutral"
"Tôi đang chờ phản hồi email từ quản lý.","Neutral"
"Tôi đang đăng ký tham gia một khóa học ngoại ngữ.","Neutral"
"Tôi sẽ báo cáo kết quả công việc trong cuộc họp tới.","Neutral"
"Tôi đang sắp xếp lại các thư mục trên máy tính.","Neutral"
"Tôi đang ghi chép lại các yêu cầu của khách hàng.","Neutral"
